node_id,sub_node_id,utm_x,utm_y,its800_ip,cameras,radar
18000001,18000001,781482.47,3314844.26,100.100.48.152,"[{'ip': '100.100.48.5', 'name': '中焦', 'utm_x': 781482.47, 'utm_y': 3314844.26, 'coverage': '[{""utmX"":781476.73,""utmY"":3314809.51},{""utmX"":781464.05,""utmY"":3314820.16},{""utmX"":781420.17,""utmY"":3314769.49},{""utmX"":781380.42,""utmY"":3314727.07},{""utmX"":781392.72,""utmY"":3314715.03},{""utmX"":781432.09,""utmY"":3314758.54}]'}]","[{'ip': '100.100.48.6', 'name': '雷达', 'utm_x': 781482.47, 'utm_y': 3314844.26, 'coverage': ''}]"
18000002,18000002,781413.68,3314764.05,100.100.48.153,"[{'ip': '100.100.48.1', 'name': '中焦', 'utm_x': 781413.68, 'utm_y': 3314764.05, 'coverage': '[{""utmX"":781406.96,""utmY"":3314730.22},{""utmX"":781394.34,""utmY"":3314741.46},{""utmX"":781331.69,""utmY"":3314676.95},{""utmX"":781343.67,""utmY"":3314665.05}]'}, {'ip': '100.100.48.2', 'name': '长焦', 'utm_x': 781413.68, 'utm_y': 3314764.05, 'coverage': '[{""utmX"":781372.03,""utmY"":3314693.84},{""utmX"":781359.99,""utmY"":3314705.87},{""utmX"":781299.63,""utmY"":3314646.01},{""utmX"":781243.89,""utmY"":3314595.22},{""utmX"":781254.94,""utmY"":3314581.53},{""utmX"":781303.92,""utmY"":3314626.22}]'}]","[{'ip': '100.100.48.3', 'name': '雷达', 'utm_x': 781413.68, 'utm_y': 3314764.05, 'coverage': ''}]"
18000003,18000003,781285.46,3314633.16,100.100.48.154,"[{'ip': '100.100.48.8', 'name': '中焦', 'utm_x': 781285.46, 'utm_y': 3314633.16, 'coverage': '[{""utmX"":781277.41,""utmY"":3314599.28},{""utmX"":781264.98,""utmY"":3314612.15},{""utmX"":781202.97,""utmY"":3314557.92},{""utmX"":781212.71,""utmY"":3314545.92}]'}, {'ip': '100.100.48.9', 'name': '长焦', 'utm_x': 781285.46, 'utm_y': 3314633.16, 'coverage': '[{""utmX"":781248.72,""utmY"":3314573.61},{""utmX"":781236.63,""utmY"":3314587.03},{""utmX"":781090.71,""utmY"":3314469.08},{""utmX"":781101.41,""utmY"":3314455.52}]'}]","[{'ip': '100.100.48.10', 'name': '雷达', 'utm_x': 781285.46, 'utm_y': 3314633.16, 'coverage': ''}]"
18000004,18000004,781135.18,3314504.04,100.100.48.155,"[{'ip': '100.100.48.12', 'name': '中焦', 'utm_x': 781135.18, 'utm_y': 3314504.04, 'coverage': '[{""utmX"":781122.15,""utmY"":3314472.5},{""utmX"":781112.27,""utmY"":3314485.42},{""utmX"":781014.96,""utmY"":3314415.48},{""utmX"":781023.78,""utmY"":3314401.8},{""utmX"":781077.91,""utmY"":3314439.2}]'}, {'ip': '100.100.48.13', 'name': '长焦', 'utm_x': 781135.18, 'utm_y': 3314504.04, 'coverage': '[{""utmX"":781048.8,""utmY"":3314419.26},{""utmX"":781039.9,""utmY"":3314432.01},{""utmX"":780967.47,""utmY"":3314384.42},{""utmX"":780920.97,""utmY"":3314355.44},{""utmX"":780849.67,""utmY"":3314313.05},{""utmX"":780757.49,""utmY"":3314260.5},{""utmX"":780764.91,""utmY"":3314246.33},{""utmX"":780857.29,""utmY"":3314298.46},{""utmX"":780925.66,""utmY"":3314338.72},{""utmX"":780990.77,""utmY"":3314379.96}]'}]","[{'ip': '100.100.48.14', 'name': '雷达', 'utm_x': 781135.18, 'utm_y': 3314504.04, 'coverage': ''}]"
18000005,18000005,780805.7,3314289.14,100.100.48.157,"[{'ip': '100.100.48.16', 'name': '中焦', 'utm_x': 780805.7, 'utm_y': 3314289.14, 'coverage': '[{""utmX"":780788.09,""utmY"":3314259.62},{""utmX"":780780.49,""utmY"":3314273.11},{""utmX"":780658.55,""utmY"":3314204.33},{""utmX"":780666.17,""utmY"":3314190.77}]'}, {'ip': '100.100.48.17', 'name': '长焦', 'utm_x': 780805.7, 'utm_y': 3314289.14, 'coverage': '[{""utmX"":780692.28,""utmY"":3314205.51},{""utmX"":780684.68,""utmY"":3314219.07},{""utmX"":780414.67,""utmY"":3314066.77},{""utmX"":780422.11,""utmY"":3314053.37}]'}]","[{'ip': '100.100.48.18', 'name': '雷达', 'utm_x': 780805.7, 'utm_y': 3314289.14, 'coverage': ''}, {'ip': '100.100.48.19', 'name': '雷达', 'utm_x': 780805.7, 'utm_y': 3314289.14, 'coverage': ''}]"
18000006,18000006,780457.37,3314093.42,100.100.48.158,"[{'ip': '100.100.48.21', 'name': '中焦', 'utm_x': 780457.37, 'utm_y': 3314093.42, 'coverage': '[{""utmX"":780437.93,""utmY"":3314062.95},{""utmX"":780430.55,""utmY"":3314075.99},{""utmX"":780326.11,""utmY"":3314017.35},{""utmX"":780333.5,""utmY"":3314003.93}]'}, {'ip': '100.100.48.22', 'name': '长焦', 'utm_x': 780457.37, 'utm_y': 3314093.42, 'coverage': '[{""utmX"":780359.66,""utmY"":3314018.66},{""utmX"":780351.99,""utmY"":3314032.0},{""utmX"":780063.16,""utmY"":3313869.51},{""utmX"":780075.53,""utmY"":3313850.66}]'}]","[{'ip': '100.100.48.23', 'name': '雷达', 'utm_x': 780457.37, 'utm_y': 3314093.42, 'coverage': ''}, {'ip': '100.100.48.24', 'name': '雷达', 'utm_x': 780457.37, 'utm_y': 3314093.42, 'coverage': ''}]"
18000007,18000007,780111.82,3313893.68,100.100.48.159,"[{'ip': '100.100.48.26', 'name': '中焦', 'utm_x': 780111.82, 'utm_y': 3313893.68, 'coverage': '[{""utmX"":780093.92,""utmY"":3313862.62},{""utmX"":780085.84,""utmY"":3313876.27},{""utmX"":779976.32,""utmY"":3313804.65},{""utmX"":779985.97,""utmY"":3313790.93}]'}, {'ip': '100.100.48.27', 'name': '长焦', 'utm_x': 780111.82, 'utm_y': 3313893.68, 'coverage': '[{""utmX"":780010.61,""utmY"":3313807.95},{""utmX"":780001.25,""utmY"":3313821.52},{""utmX"":779906.83,""utmY"":3313754.57},{""utmX"":779845.49,""utmY"":3313708.37},{""utmX"":779797.07,""utmY"":3313670.46},{""utmX"":779752.45,""utmY"":3313634.35},{""utmX"":779762.68,""utmY"":3313621.93},{""utmX"":779836.06,""utmY"":3313680.88},{""utmX"":779887.77,""utmY"":3313719.94},{""utmX"":779948.14,""utmY"":3313764.8}]'}]","[{'ip': '100.100.48.28', 'name': '雷达', 'utm_x': 780111.82, 'utm_y': 3313893.68, 'coverage': ''}, {'ip': '100.100.48.29', 'name': '雷达', 'utm_x': 780111.82, 'utm_y': 3313893.68, 'coverage': ''}]"
18000008,18000008,779793.79,3313668.91,100.100.48.160,"[{'ip': '100.100.48.31', 'name': '中焦', 'utm_x': 779793.79, 'utm_y': 3313668.91, 'coverage': '[{""utmX"":779781.57,""utmY"":3313637.36},{""utmX"":779771.32,""utmY"":3313650.05},{""utmX"":779664.03,""utmY"":3313560.49},{""utmX"":779674.79,""utmY"":3313547.17}]'}, {'ip': '100.100.48.32', 'name': '长焦', 'utm_x': 779793.79, 'utm_y': 3313668.91, 'coverage': '[{""utmX"":779697.66,""utmY"":3313566.88},{""utmX"":779686.76,""utmY"":3313579.39},{""utmX"":779460.9,""utmY"":3313381.78},{""utmX"":779472.13,""utmY"":3313368.99}]'}]","[{'ip': '100.100.48.33', 'name': '雷达', 'utm_x': 779793.79, 'utm_y': 3313668.91, 'coverage': ''}, {'ip': '100.100.48.34', 'name': '雷达', 'utm_x': 779793.79, 'utm_y': 3313668.91, 'coverage': ''}]"
18000009,18000009,779497.95,3313415.75,100.100.49.152,"[{'ip': '100.100.49.1', 'name': '中焦', 'utm_x': 779497.95, 'utm_y': 3313415.75, 'coverage': '[{""utmX"":779482.2,""utmY"":3313377.44},{""utmX"":779471.38,""utmY"":3313389.92},{""utmX"":779370.18,""utmY"":3313301.98},{""utmX"":779381.56,""utmY"":3313288.52}]'}, {'ip': '100.100.49.2', 'name': '长焦', 'utm_x': 779497.95, 'utm_y': 3313415.75, 'coverage': '[{""utmX"":779407.41,""utmY"":3313308.41},{""utmX"":779395.08,""utmY"":3313322.98},{""utmX"":779154.51,""utmY"":3313121.75},{""utmX"":779164.82,""utmY"":3313107.48}]'}]","[{'ip': '100.100.49.3', 'name': '雷达', 'utm_x': 779497.95, 'utm_y': 3313415.75, 'coverage': ''}, {'ip': '100.100.49.4', 'name': '雷达', 'utm_x': 779497.95, 'utm_y': 3313415.75, 'coverage': ''}]"
18000010,18000010,779176.23,3313140.61,100.100.49.153,"[{'ip': '100.100.49.6', 'name': '中焦', 'utm_x': 779176.23, 'utm_y': 3313140.61, 'coverage': '[{""utmX"":779164.57,""utmY"":3313108.79},{""utmX"":779154.26,""utmY"":3313121.82},{""utmX"":779043.52,""utmY"":3313037.43},{""utmX"":779052.79,""utmY"":3313023.67}]'}, {'ip': '100.100.49.7', 'name': '长焦', 'utm_x': 779176.23, 'utm_y': 3313140.61, 'coverage': '[{""utmX"":779077.81,""utmY"":3313041.66},{""utmX"":779067.4,""utmY"":3313054.25},{""utmX"":778814.67,""utmY"":3312874.48},{""utmX"":778823.4,""utmY"":3312861.7},{""utmX"":778886.34,""utmY"":3312904.3},{""utmX"":778942.11,""utmY"":3312943.21},{""utmX"":779012.67,""utmY"":3312994.05}]'}]","[{'ip': '100.100.49.8', 'name': '雷达', 'utm_x': 779176.23, 'utm_y': 3313140.61, 'coverage': ''}, {'ip': '100.100.49.9', 'name': '雷达', 'utm_x': 779176.23, 'utm_y': 3313140.61, 'coverage': ''}]"
